Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Previous_qualification_grade,Nacionality,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP,Status
Single,Phase 1 - General,6,Nursing,Daytime,Secondary Education,122.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 1st Cycle,Technician,Service,116.6,Yes,No,Yes,Paid,Male,Yes,20,No,0,7,7,7,13.314285714285717,0,0,8,8,8,12.575,0,12.4,0.5,1.79,Graduate
Single,Phase 3 - General,1,Communication Design,Daytime,Secondary Education,143.0,Portuguese,Basic Ed 2nd Cycle,Basic Ed 2nd Cycle,Industry,Service,141.6,No,No,No,Paid,Female,Yes,19,No,6,12,12,11,13.090909090909092,0,5,11,12,11,12.083333333333334,0,10.8,1.4,1.74,Graduate
Single,Phase 1 - General,1,Equinculture,Daytime,Secondary Education,110.0,Portuguese,Degree,Basic Ed 3rd Cycle,Scientific,Unskilled,105.5,Yes,No,Yes,Unpaid,Female,No,19,No,0,6,0,0,0.0,0,0,6,0,0,0.0,0,11.1,0.6,2.02,Dropout
Single,Phase 1 - General,1,Communication Design,Daytime,Secondary Education,124.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 3rd Cycle,Unskilled,Technician,116.3,Yes,No,No,Paid,Female,No,20,No,0,6,8,5,12.2,0,0,6,6,6,11.5,0,16.2,0.3,-0.92,Graduate
Married,Higher Course Holders,1,Management,Daytime,Degree,110.0,Portuguese,Basic Ed 3rd Cycle,Secondary Ed,Unskilled,Unskilled,110.0,No,No,No,Paid,Female,No,33,No,5,8,10,6,12.833333333333334,0,2,5,8,4,12.0,0,11.1,0.6,2.02,Enrolled
Single,Course Change,1,Management Evening,Evening,Secondary Education,130.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 1st Cycle,Unskilled,Unskilled,119.5,Yes,No,No,Paid,Female,No,22,No,9,15,17,15,11.2,0,9,14,15,14,12.428571428571429,0,7.6,2.6,0.32,Graduate
Single,Phase 1 - General,6,Management,Daytime,Secondary Education,139.0,Portuguese,Basic Ed 3rd Cycle,Other 11th,Admin,Admin,125.0,Yes,No,No,Paid,Female,No,18,No,0,5,8,3,12.333333333333334,0,0,5,7,4,12.0,0,7.6,2.6,0.32,Graduate
Common-Law,Over 23 Years,1,Nursing,Daytime,Degree,140.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 2nd Cycle,Unskilled,Unskilled,160.0,No,No,No,Paid,Female,No,27,No,0,8,8,7,15.94285714285714,0,0,8,8,7,15.94285714285714,0,12.7,3.7,-1.7,Graduate
Single,Over 23 Years,1,Management Evening,Evening,Secondary Education,150.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 1st Cycle,Unskilled,Industry,150.0,No,No,No,Paid,Female,No,27,No,0,5,0,0,0.0,0,0,5,0,0,0.0,0,15.5,2.8,-4.06,Dropout
Single,Phase 1 - General,1,Social Service,Daytime,Secondary Education,123.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 1st Cycle,Unskilled,Unskilled,115.0,Yes,No,No,Paid,Female,No,19,No,0,6,10,4,10.25,0,0,6,8,6,10.714285714285714,0,11.1,0.6,2.02,Graduate
Single,Phase 2 - General,1,Basic Education,Daytime,Secondary Education,128.0,Portuguese,Basic Ed 2nd Cycle,Basic Ed 2nd Cycle,Unskilled,Industry,128.4,Yes,No,No,Paid,Female,Yes,20,No,0,6,10,5,13.2,0,0,6,12,5,12.833333333333334,0,9.4,-0.8,-3.12,Enrolled
Single,Phase 1 - General,1,Social Service Evening,Evening,Secondary Education,100.0,Portuguese,Basic Ed 2nd Cycle,Basic Ed 3rd Cycle,Agriculture,Armed Forces,112.8,No,No,No,Paid,Female,Yes,23,No,0,6,6,6,14.166666666666666,0,0,6,6,6,12.5,0,12.7,3.7,-1.7,Graduate
Single,Course Change,1,Nursing,Daytime,Secondary Education,148.0,Portuguese,9th Incomplete,Basic Ed 2nd Cycle,Other,Technician,131.0,Yes,No,No,Paid,Female,Yes,22,No,18,23,23,20,14.575,3,18,23,23,20,14.575,3,7.6,2.6,0.32,Graduate
Single,Phase 2 - General,2,Tourism,Daytime,Secondary Education,130.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 3rd Cycle,Industry,Industry,121.6,Yes,No,No,Paid,Female,Yes,18,No,0,6,9,1,10.0,1,0,6,6,0,0.0,0,12.7,3.7,-1.7,Dropout
Single,Phase 1 - General,4,Social Service,Daytime,Secondary Education,118.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 2nd Cycle,Unskilled,Unskilled,110.0,No,No,No,Paid,Female,Yes,18,No,0,6,7,6,12.285714285714286,0,0,6,8,6,11.428571428571429,0,12.4,0.5,1.79,Graduate
Single,Over 23 Years,1,Social Service Evening,Evening,Secondary Education,120.0,Portuguese,Basic Ed 2nd Cycle,Basic Ed 2nd Cycle,Unskilled,Unskilled,148.5,No,No,No,Paid,Female,Yes,31,No,0,6,6,6,14.0,0,0,6,6,6,12.333333333333334,0,10.8,1.4,1.74,Graduate
Single,Phase 2 - General,4,Journalism,Daytime,Secondary Education,119.0,Portuguese,Basic Ed 2nd Cycle,Basic Ed 3rd Cycle,Unskilled,Unskilled,118.3,No,No,No,Paid,Female,No,19,No,0,6,8,4,11.25,0,0,6,0,0,0.0,0,15.5,2.8,-4.06,Dropout
Single,Phase 1 - General,1,Social Service,Daytime,Secondary Education,138.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 1st Cycle,Unskilled,Unskilled,135.9,Yes,No,No,Paid,Female,No,19,No,0,6,11,5,11.6,0,0,6,11,6,11.666666666666666,0,7.6,2.6,0.32,Enrolled
Single,Phase 2 - General,1,Social Service Evening,Evening,Secondary Education,127.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 1st Cycle,Admin,Industry,115.8,No,No,No,Paid,Female,No,24,No,0,6,12,1,12.0,0,0,6,12,0,0.0,0,10.8,1.4,1.74,Dropout
Single,Phase 1 - General,1,Nursing,Daytime,Secondary Education,134.0,Portuguese,Basic Ed 2nd Cycle,Basic Ed 3rd Cycle,Technician,Armed Forces,121.2,No,No,No,Paid,Female,No,19,No,0,7,10,7,13.47,0,0,8,8,8,13.32625,0,15.5,2.8,-4.06,Graduate
Single,Phase 2 - General,4,Management,Daytime,Secondary Education,133.0,Portuguese,Secondary Ed,Secondary Ed,Admin,Service,136.2,Yes,No,No,Paid,Female,No,19,No,0,5,6,5,12.4,0,0,5,5,5,12.8,0,7.6,2.6,0.32,Graduate
Single,Over 23 Years,1,Marketing,Daytime,Secondary Education,133.1,Portuguese,Basic Ed 1st Cycle,Basic Ed 1st Cycle,Unskilled,Unskilled,100.2,Yes,No,No,Unpaid,Female,No,26,No,0,6,9,3,11.75,0,0,6,11,4,11.5,3,16.2,0.3,-0.92,Dropout
Single,Phase 1 - General,1,Animation Design,Daytime,Secondary Education,180.0,Brazilian,Basic Ed 1st Cycle,Basic Ed 1st Cycle,Unskilled,Unskilled,152.7,Yes,No,Yes,Unpaid,Male,No,27,Yes,0,0,0,0,0.0,0,0,0,0,0,0.0,0,7.6,2.6,0.32,Dropout
Single,Phase 2 - General,4,Social Service,Daytime,Secondary Education,129.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 3rd Cycle,Admin,Industry,123.1,Yes,No,No,Paid,Female,No,19,No,0,6,7,6,12.0,0,0,6,7,6,12.428571428571429,0,11.1,0.6,2.02,Graduate
Married,Over 23 Years,1,Veterinary Nursing,Daytime,Secondary Education,120.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 3rd Cycle,Legislative,Admin,130.0,No,No,No,Paid,Female,No,29,No,0,5,8,5,15.333333333333334,2,0,5,6,5,15.4,0,9.4,-0.8,-3.12,Dropout
Single,Phase 1 - General,6,Nursing,Daytime,Secondary Education,141.0,Portuguese,Secondary Ed,Basic Ed 2nd Cycle,Admin,Service,125.0,Yes,No,No,Paid,Female,Yes,18,No,0,8,8,8,12.32,0,0,8,8,8,12.32,0,9.4,-0.8,-3.12,Graduate
Single,Phase 1 - General,1,Nursing,Daytime,Secondary Education,118.0,Portuguese,Secondary Ed,Basic Ed 3rd Cycle,Unskilled,Armed Forces,113.1,Yes,No,No,Paid,Female,No,19,No,0,7,7,7,13.79857142857143,0,0,8,8,8,14.75625,0,11.1,0.6,2.02,Graduate
Single,Phase 1 - General,5,Journalism,Daytime,Secondary Education,127.0,Portuguese,Basic Ed 2nd Cycle,Secondary Ed,Admin,Service,121.1,Yes,No,No,Paid,Female,No,18,No,0,6,6,6,13.166666666666666,0,0,6,6,6,12.5,0,15.5,2.8,-4.06,Enrolled
Single,Phase 1 - General,1,Management,Daytime,Secondary Education,177.0,Portuguese,Secondary Ed,Basic Ed 2nd Cycle,Technician,Unskilled,162.3,No,No,No,Paid,Female,Yes,18,No,0,5,6,5,16.333333333333332,0,0,5,5,5,15.4,0,15.5,2.8,-4.06,Graduate
Single,Transfer,1,Animation Design,Daytime,Secondary Education,132.0,Portuguese,Secondary Ed,Secondary Ed,Legislative,Admin,132.0,Yes,No,No,Paid,Female,No,19,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,12.7,3.7,-1.7,Dropout
Single,Phase 2 - General,4,Nursing,Daytime,Secondary Education,133.0,Portuguese,Master,Master,Admin,Admin,130.7,Yes,No,No,Paid,Female,No,19,No,0,7,7,7,14.757142857142856,0,0,8,9,8,15.366666666666667,0,12.4,0.5,1.79,Graduate
Single,Phase 2 - General,4,Tourism,Daytime,Secondary Education,124.0,Portuguese,Secondary Ed,Secondary Ed,Admin,Admin,122.3,Yes,No,No,Paid,Female,No,19,No,0,6,7,6,11.666666666666666,0,0,6,6,6,12.333333333333334,0,13.9,-0.3,0.79,Dropout
Single,Phase 1 - General,1,Marketing,Daytime,Secondary Education,143.0,Portuguese,Degree,Basic Ed 2nd Cycle,Scientific,Unskilled,144.1,Yes,No,No,Paid,Female,No,19,No,0,6,7,5,12.6,0,0,6,10,5,12.375,0,10.8,1.4,1.74,Enrolled
Single,Phase 1 - General,1,Journalism,Daytime,Secondary Education,128.0,Portuguese,Secondary Ed,Basic Ed 3rd Cycle,Unskilled,Industry,118.2,No,No,No,Paid,Female,No,19,No,0,6,6,6,11.666666666666666,0,0,6,6,6,11.5,0,12.7,3.7,-1.7,Graduate
Single,Phase 1 - General,1,Social Service,Daytime,Secondary Education,138.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 2nd Cycle,Service,Machine Operator,133.5,No,No,No,Paid,Female,Yes,19,No,0,6,6,6,15.0,0,0,6,6,6,13.333333333333334,0,8.9,1.4,3.51,Graduate
Single,Phase 1 - General,5,Nursing,Daytime,Secondary Education,144.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 1st Cycle,Industry,Unskilled,126.8,Yes,No,Yes,Unpaid,Female,No,18,No,0,7,0,0,0.0,0,0,8,0,0,0.0,0,9.4,-0.8,-3.12,Dropout
Single,Phase 1 - General,4,Journalism,Daytime,Secondary Education,122.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 3rd Cycle,Unskilled,Industry,121.0,Yes,No,No,Paid,Female,No,20,No,0,6,7,6,13.571428571428571,0,0,6,6,6,13.333333333333334,0,13.9,-0.3,0.79,Graduate
Single,Phase 2 - General,1,Tourism,Daytime,Secondary Education,111.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 3rd Cycle,Technician,Armed Forces,117.7,No,No,No,Paid,Female,No,20,No,0,6,8,5,10.8,0,0,6,9,4,11.5,0,9.4,-0.8,-3.12,Graduate
Single,Phase 1 - General,1,Veterinary Nursing,Daytime,Secondary Education,133.1,Portuguese,Basic Ed 2nd Cycle,Basic Ed 1st Cycle,Legislative,Legislative,115.0,Yes,No,No,Paid,Female,No,21,No,0,5,8,3,11.333333333333334,1,0,5,8,3,13.333333333333334,0,12.7,3.7,-1.7,Enrolled
Married,Phase 1 - General,1,Management Evening,Evening,Bachelor Degree,120.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 1st Cycle,Agriculture,Technician,129.2,No,No,No,Paid,Female,No,31,No,4,10,16,5,11.4,0,4,10,10,6,12.833333333333334,0,9.4,-0.8,-3.12,Dropout
Single,Phase 1 - General,1,Oral Hygiene,Daytime,Secondary Education,135.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 2nd Cycle,Industry,Unskilled,125.8,No,No,No,Paid,Female,Yes,20,No,0,7,14,7,10.642857142857142,0,0,8,8,8,11.55,0,12.7,3.7,-1.7,Graduate
Single,Phase 2 - General,5,Marketing,Daytime,Secondary Education,125.0,Portuguese,Basic Ed 3rd Cycle,8th Year,Industry,Industry,118.4,Yes,No,No,Paid,Female,Yes,19,No,0,5,8,3,10.5,0,0,5,6,4,11.75,1,7.6,2.6,0.32,Enrolled
Single,Phase 1 - General,1,Nursing,Daytime,Secondary Education,147.0,Portuguese,Basic Ed 2nd Cycle,Basic Ed 2nd Cycle,Unskilled,Unskilled,142.0,Yes,No,No,Paid,Female,No,18,No,0,7,7,6,14.65,0,0,7,7,6,14.65,0,7.6,2.6,0.32,Graduate
Single,Phase 2 - General,3,Nursing,Daytime,Secondary Education,137.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 1st Cycle,Industry,Industry,126.7,Yes,No,No,Paid,Female,Yes,19,No,0,7,7,7,13.714285714285714,0,0,8,11,8,14.863636363636363,0,16.2,0.3,-0.92,Graduate
Single,Course Change,1,Social Service,Daytime,Secondary Education,117.0,Portuguese,Unknown,Unknown,Student,Student,109.3,No,No,No,Paid,Female,No,30,No,9,16,19,15,12.266666666666667,0,11,13,14,13,12.071428571428571,0,9.4,-0.8,-3.12,Graduate
Single,Phase 2 - General,1,Social Service,Daytime,Secondary Education,126.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 3rd Cycle,Unskilled,Machine Operator,116.9,Yes,No,No,Paid,Female,No,21,No,0,6,11,6,10.375,0,0,6,12,3,11.666666666666666,0,12.7,3.7,-1.7,Enrolled
Single,Phase 3 - General,1,Management,Daytime,Secondary Education,128.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 3rd Cycle,Unskilled,Service,121.7,Yes,No,No,Paid,Female,No,19,No,0,5,8,5,11.0,0,0,5,6,5,15.4,0,12.4,0.5,1.79,Graduate
Single,Phase 1 - General,6,Management,Daytime,Secondary Education,115.0,Portuguese,Secondary Ed,Basic Ed 1st Cycle,Admin,Unskilled,117.1,Yes,No,Yes,Paid,Female,No,22,No,0,5,5,5,13.8,0,0,5,5,5,13.0,0,7.6,2.6,0.32,Graduate
Single,Phase 1 - General,1,Journalism,Daytime,Secondary Education,121.0,Portuguese,Secondary Ed,Basic Ed 2nd Cycle,Admin,Unskilled,114.4,No,No,No,Paid,Female,Yes,18,No,0,6,6,6,12.666666666666666,0,0,6,6,6,12.833333333333334,0,11.1,0.6,2.02,Graduate
Single,Phase 2 - General,1,Social Service,Daytime,Secondary Education,134.0,Portuguese,Degree,Secondary Ed,Technician,Admin,133.0,Yes,No,No,Paid,Female,No,18,No,0,6,8,6,11.75,0,0,6,10,5,12.0,0,12.7,3.7,-1.7,Graduate
Single,Phase 1 - General,3,Nursing,Daytime,Secondary Education,126.0,Portuguese,Basic Ed 2nd Cycle,Basic Ed 2nd Cycle,Unskilled,Machine Operator,118.8,Yes,No,No,Paid,Female,Yes,19,No,0,8,8,7,12.785714285714286,0,0,8,8,7,12.785714285714286,0,12.7,3.7,-1.7,Graduate
Single,Phase 1 - General,1,Equinculture,Daytime,Secondary Education,151.0,Portuguese,Degree,Secondary Ed,Scientific,Admin,151.0,Yes,No,No,Paid,Female,No,18,No,0,6,11,6,14.444444444444445,0,0,6,6,6,13.333333333333334,0,16.2,0.3,-0.92,Graduate
Single,Phase 1 - General,6,Nursing,Daytime,Secondary Education,122.0,Portuguese,Secondary Ed,Secondary Ed,Admin,Admin,119.6,Yes,No,No,Paid,Female,No,21,No,0,7,8,6,13.25,0,0,8,8,8,13.8375,0,13.9,-0.3,0.79,Enrolled
Single,Phase 2 - General,1,Nursing,Daytime,Secondary Education,141.0,Portuguese,Bachelor,Basic Ed 2nd Cycle,Scientific,Armed Forces,135.4,Yes,No,No,Paid,Female,No,18,No,0,7,9,7,12.50625,0,0,8,15,5,13.2,0,13.9,-0.3,0.79,Enrolled
Single,Phase 1 - General,1,Animation Design,Daytime,Secondary Education,138.0,Portuguese,Secondary Ed,Degree 1st Cycle,Admin,Technician,149.9,Yes,No,No,Paid,Female,No,20,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,11.1,0.6,2.02,Graduate
Single,Phase 1 - General,1,Veterinary Nursing,Daytime,Secondary Education,133.0,Portuguese,Basic Ed 2nd Cycle,Basic Ed 1st Cycle,Unskilled,Industry,120.1,Yes,No,No,Paid,Female,No,18,No,0,5,8,4,12.75,1,0,5,10,4,11.75,0,12.7,3.7,-1.7,Graduate
Single,Over 23 Years,1,Veterinary Nursing,Daytime,Degree,150.0,Portuguese,Bachelor,Degree,Admin,Industry,173.3,Yes,No,No,Paid,Female,No,25,No,1,6,7,6,16.857142857142858,0,1,6,6,6,16.5,0,13.9,-0.3,0.79,Graduate
Single,Phase 1 - General,1,Journalism,Daytime,Secondary Education,136.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 3rd Cycle,Admin,Technician,126.2,No,No,No,Paid,Female,No,19,No,0,6,6,6,13.166666666666666,0,0,6,6,6,15.0,0,16.2,0.3,-0.92,Graduate
Single,Phase 1 - General,1,Basic Education,Daytime,Secondary Education,129.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 2nd Cycle,Scientific,Industry,126.9,Yes,No,No,Paid,Female,Yes,19,No,0,6,9,5,12.2,0,0,6,10,4,11.5,0,7.6,2.6,0.32,Enrolled
Single,Over 23 Years,1,Veterinary Nursing,Daytime,Secondary Education,128.0,Portuguese,Basic Ed 3rd Cycle,Secondary Ed,Unskilled,Armed Forces,157.4,Yes,No,No,Paid,Female,No,26,No,0,6,7,6,16.5,0,0,6,8,6,14.285714285714286,0,8.9,1.4,3.51,Graduate
Single,Phase 2 - General,2,Management,Daytime,Secondary Education,131.0,Portuguese,Secondary Ed,Basic Ed 3rd Cycle,Admin,Service,120.2,Yes,No,No,Paid,Female,No,21,No,0,5,10,4,11.75,0,0,5,6,5,11.6,0,12.4,0.5,1.79,Graduate
Single,Phase 1 - General,1,Management,Daytime,Secondary Education,130.0,Portuguese,Basic Ed 2nd Cycle,Basic Ed 2nd Cycle,Scientific,Unskilled,124.8,No,No,No,Paid,Female,No,19,No,0,5,14,1,11.0,0,0,5,6,0,0.0,0,13.9,-0.3,0.79,Dropout
Single,Phase 2 - General,1,Nursing,Daytime,Secondary Education,150.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 1st Cycle,Unskilled,Unskilled,130.3,No,No,No,Paid,Female,Yes,19,No,0,8,8,7,15.114285714285714,0,0,8,8,7,15.114285714285714,0,12.7,3.7,-1.7,Graduate
Single,Phase 1 - General,1,Social Service,Daytime,Secondary Education,165.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 2nd Cycle,Unskilled,Machine Operator,152.4,Yes,No,No,Paid,Female,Yes,18,No,0,6,8,6,15.5,0,0,6,7,6,14.285714285714286,0,16.2,0.3,-0.92,Graduate
Married,Course Change,1,Management Evening,Evening,Secondary Education,133.1,Portuguese,Basic Ed 1st Cycle,Basic Ed 1st Cycle,Unskilled,Industry,113.5,No,No,No,Paid,Female,Yes,32,No,3,10,12,7,11.142857142857142,0,4,10,10,8,12.0,0,10.8,1.4,1.74,Graduate
Single,Phase 1 - General,1,Social Service,Daytime,Secondary Education,126.0,Portuguese,Degree,Secondary Ed,Service,Service,125.7,No,No,No,Paid,Female,Yes,18,No,0,6,6,6,11.333333333333334,0,0,6,8,6,11.333333333333334,0,15.5,2.8,-4.06,Graduate
Single,Phase 1 - General,5,Nursing,Daytime,Secondary Education,101.0,Portuguese,Secondary Ed,Secondary Ed,Technician,Admin,102.4,No,No,No,Paid,Female,No,20,No,0,7,9,5,12.04,0,0,7,9,6,11.77142857142857,0,12.4,0.5,1.79,Enrolled
Single,Phase 2 - General,3,Management,Daytime,Secondary Education,125.0,Portuguese,Basic Ed 2nd Cycle,Basic Ed 3rd Cycle,Industry,Industry,125.7,No,No,No,Paid,Female,No,20,No,0,5,7,5,11.166666666666666,0,0,5,9,4,10.75,0,15.5,2.8,-4.06,Enrolled
Divorced,Over 23 Years,1,Marketing,Daytime,Secondary Education,100.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 1st Cycle,Admin,Armed Forces,120.0,No,No,Yes,Paid,Female,Yes,39,No,0,5,6,5,10.6,0,0,5,7,4,10.75,0,9.4,-0.8,-3.12,Graduate
Single,Phase 1 - General,1,Equinculture,Daytime,Secondary Education,117.0,Portuguese,Secondary Ed,Secondary Ed,Unskilled,Unskilled,109.3,Yes,No,No,Paid,Female,No,20,No,0,5,10,4,12.5,0,0,5,12,2,13.0,0,12.7,3.7,-1.7,Enrolled
Single,Phase 1 - General,1,Animation Design,Daytime,Secondary Education,159.0,Portuguese,Degree,Secondary Ed,Admin,Admin,162.2,Yes,No,Yes,Unpaid,Female,No,18,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,12.4,0.5,1.79,Dropout
Single,Phase 2 - General,1,Journalism,Daytime,Secondary Education,177.0,Portuguese,Bachelor,Secondary Ed,Teacher,ICT Technician,155.7,No,No,Yes,Paid,Female,Yes,18,No,0,6,6,6,15.666666666666666,0,0,6,6,6,13.833333333333334,0,8.9,1.4,3.51,Graduate
Single,Phase 1 - General,1,Animation Design,Daytime,Secondary Education,156.0,Portuguese,Degree,Degree,Scientific,Scientific,147.7,Yes,No,No,Paid,Female,No,21,No,6,12,12,12,15.333333333333334,0,4,11,15,11,15.0,0,8.9,1.4,3.51,Graduate
Single,Phase 1 - General,5,Nursing,Daytime,Secondary Education,125.0,Portuguese,Secondary Ed,Secondary Ed,Technician,Machine Operator,115.6,Yes,No,No,Paid,Female,No,18,No,0,7,9,6,12.183333333333332,0,0,7,9,6,11.783333333333331,0,16.2,0.3,-0.92,Enrolled
Single,Phase 1 - General,2,Management,Daytime,Secondary Education,130.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 1st Cycle,Unskilled,Unskilled,117.8,No,No,No,Paid,Female,No,18,No,0,5,8,2,10.0,0,0,5,9,3,11.333333333333334,0,7.6,2.6,0.32,Enrolled
Single,Course Change,1,Agronomy,Daytime,Secondary Education,125.0,Portuguese,Secondary Ed,Basic Ed 2nd Cycle,Admin,Industry,125.0,Yes,No,No,Paid,Female,No,21,No,9,14,23,9,12.0,2,6,12,21,8,11.25,0,15.5,2.8,-4.06,Graduate
Single,Phase 1 - General,1,Management,Daytime,Secondary Education,127.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 3rd Cycle,Service,Service,129.8,Yes,No,No,Paid,Female,No,22,No,0,5,8,3,10.333333333333334,0,0,5,11,2,10.0,0,7.6,2.6,0.32,Dropout
Single,Phase 2 - General,1,Tourism,Daytime,Secondary Education,121.0,Portuguese,Secondary Ed,Secondary Ed,Admin,Admin,123.1,Yes,No,No,Paid,Male,No,21,No,0,6,11,6,11.166666666666666,0,0,6,14,3,14.666666666666666,0,7.6,2.6,0.32,Enrolled
Single,Course Change,1,Communication Design,Daytime,Secondary Education,135.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 3rd Cycle,Unskilled,Unskilled,122.8,Yes,No,No,Paid,Male,Yes,20,No,0,6,8,3,11.0,0,0,6,8,2,11.333333333333334,0,10.8,1.4,1.74,Enrolled
Single,Phase 1 - General,2,Animation Design,Daytime,Secondary Education,125.0,Portuguese,Basic Ed 2nd Cycle,Basic Ed 3rd Cycle,Unskilled,Unskilled,117.3,Yes,No,No,Paid,Male,Yes,21,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Graduate
Single,Phase 1 - General,1,Tourism,Daytime,Secondary Education,138.0,Brazilian,Secondary Ed,Secondary Ed,Unskilled,Unskilled,126.5,Yes,No,No,Paid,Female,Yes,20,Yes,0,6,7,6,12.857142857142858,0,0,6,8,5,11.8,0,8.9,1.4,3.51,Graduate
Single,Phase 1 - General,4,Nursing,Daytime,Secondary Education,136.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 2nd Cycle,Unskilled,Unskilled,123.0,Yes,No,No,Paid,Female,No,19,No,0,8,8,7,14.328571428571427,0,0,8,8,7,14.328571428571427,0,10.8,1.4,1.74,Graduate
Single,Phase 1 - General,1,Social Service,Daytime,Secondary Education,142.0,Portuguese,Secondary Ed,Basic Ed 2nd Cycle,Service,Industry,127.7,No,No,No,Paid,Female,Yes,20,No,0,6,7,6,15.0,0,0,6,6,6,16.333333333333332,0,13.9,-0.3,0.79,Graduate
Single,Phase 1 - General,1,Veterinary Nursing,Daytime,Secondary Education,129.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 1st Cycle,Unskilled,Unskilled,117.5,Yes,No,No,Paid,Female,No,19,No,0,5,9,5,13.6,1,0,5,5,5,12.4,0,12.7,3.7,-1.7,Graduate
Single,Phase 1 - General,1,Veterinary Nursing,Daytime,Secondary Education,134.0,Portuguese,Secondary Ed,Secondary Ed,Scientific,Industry,128.4,Yes,No,No,Paid,Female,Yes,18,No,0,5,12,5,12.857142857142858,2,0,5,8,4,13.25,0,9.4,-0.8,-3.12,Graduate
Single,Phase 2 - General,2,Basic Education,Daytime,Secondary Education,123.0,Portuguese,Degree,Secondary Ed,Scientific,Technician,124.1,Yes,No,No,Paid,Female,No,18,No,0,6,7,2,14.5,0,0,6,6,1,10.0,0,15.5,2.8,-4.06,Dropout
Single,Over 23 Years,1,Management Evening,Evening,Secondary Education,150.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 2nd Cycle,Unskilled,Machine Operator,140.9,No,Yes,No,Paid,Female,No,24,No,0,5,7,3,10.666666666666666,0,0,5,7,3,10.5,0,10.8,1.4,1.74,Dropout
Single,Phase 1 - General,1,Tourism,Daytime,Secondary Education,129.0,Portuguese,Secondary Ed,Secondary Ed,Admin,Scientific,126.2,No,No,Yes,Unpaid,Female,Yes,21,No,0,6,7,6,13.428571428571429,0,0,6,8,6,11.333333333333334,0,8.9,1.4,3.51,Dropout
Single,Phase 1 - General,3,Nursing,Daytime,Secondary Education,134.0,Portuguese,Secondary Ed,Basic Ed 1st Cycle,Machine Operator,Industry,120.5,Yes,No,No,Paid,Male,Yes,18,No,0,7,12,7,11.716666666666663,0,0,8,13,4,10.868,0,15.5,2.8,-4.06,Graduate
Single,Phase 2 - General,1,Management,Daytime,Secondary Education,127.0,Portuguese,Secondary Ed,Basic Ed 1st Cycle,Admin,Machine Operator,121.1,Yes,No,No,Paid,Male,Yes,20,No,0,5,11,4,12.0,0,0,5,5,5,12.8,0,11.1,0.6,2.02,Graduate
Single,Phase 3 - General,2,Basic Education,Daytime,Secondary Education,123.0,Portuguese,Secondary Ed,Degree,Unskilled,Scientific,123.7,Yes,No,Yes,Unpaid,Female,No,20,No,0,6,11,5,13.2,0,0,6,8,4,10.75,0,10.8,1.4,1.74,Dropout
